,concat_column,Акция,Сектор,Период,Выплата на акцию (прогноз),Размер дивиденда рекомендован советом директоров,Валюта,Доходность выплаты,Цена расчета доходности,Дата закрытия реестра (оценка),Дата закрытия реестра рекомендована советом директоров,"Капитализация, млн.",DSI,Прогноз прибыли в след. 12m,Доля от прибыли,"Кол-во акций в обращении, млн. шт.",Стабильность выплат,Стабильность роста,Комментарий/Див. политика
96,Куйбышевазот I полугодие 2021,Куйбышевазот,Химия,I полугодие 2021,2.0,No,RUB,0.74%,271.8,23.09.2021,No,889.2,0.14,3527.0,9.95,175.46,0,0,"Согласно дивидендной политике, целью КуйбышевАзот является выплата дивидендов в размере не менее 30% от годовой прибыли по РСБУ, при условии соответствия принципам сохранения устойчивого финансового состояния компании и обеспечения перспектив его развития. В 2020 году компания сделала паузу в выплате дивидендов, связанную с пандемией, а также широкой инвестпрограммой. Ожидаем более значительный рост дивидендных выплат после завершения проводимых инвестиций (после 2023 года)."
97,Куйбышевазот всего 12м,Куйбышевазот,Химия,всего 12м,7.0,No,RUB,2.58%,271.8,Nan,No,889.2,0.14,3275.0,37.5,175.46,0,0,"Согласно дивидендной политике, целью КуйбышевАзот является выплата дивидендов в размере не менее 30% от годовой прибыли по РСБУ, при условии соответствия принципам сохранения устойчивого финансового состояния компании и обеспечения перспектив его развития. В 2020 году компания сделала паузу в выплате дивидендов, связанную с пандемией, а также широкой инвестпрограммой. Ожидаем более значительный рост дивидендных выплат после завершения проводимых инвестиций (после 2023 года)."
98,Куйбышевазот годовые 2021,Куйбышевазот,Химия,годовые 2021,3.0,No,RUB,1.1%,271.8,11.05.2022,No,889.2,0.14,3275.0,16.07,175.46,0,0,"Согласно дивидендной политике, целью КуйбышевАзот является выплата дивидендов в размере не менее 30% от годовой прибыли по РСБУ, при условии соответствия принципам сохранения устойчивого финансового состояния компании и обеспечения перспектив его развития. В 2020 году компания сделала паузу в выплате дивидендов, связанную с пандемией, а также широкой инвестпрограммой. Ожидаем более значительный рост дивидендных выплат после завершения проводимых инвестиций (после 2023 года)."
99,Куйбышевазот-п 9 месяцев 2021,Куйбышевазот-п,Химия,9 месяцев 2021,2.0,No,RUB,0.73%,272.8,20.12.2021,No,889.2,0.14,5290.0,0.08,2.21,0,0,"Согласно дивидендной политике, целью КуйбышевАзот является выплата дивидендов в размере не менее 30% от годовой прибыли по РСБУ, при условии соответствия принципам сохранения устойчивого финансового состояния компании и обеспечения перспектив его развития. В 2020 году компания сделала паузу в выплате дивидендов, связанную с пандемией, а также широкой инвестпрограммой. Ожидаем более значительный рост дивидендных выплат после завершения проводимых инвестиций (после 2023 года)."
100,Куйбышевазот-п I полугодие 2021,Куйбышевазот-п,Химия,I полугодие 2021,2.0,No,RUB,0.73%,272.8,23.09.2021,No,889.2,0.14,3527.0,0.13,2.21,0,0,"Согласно дивидендной политике, целью КуйбышевАзот является выплата дивидендов в размере не менее 30% от годовой прибыли по РСБУ, при условии соответствия принципам сохранения устойчивого финансового состояния компании и обеспечения перспектив его развития. В 2020 году компания сделала паузу в выплате дивидендов, связанную с пандемией, а также широкой инвестпрограммой. Ожидаем более значительный рост дивидендных выплат после завершения проводимых инвестиций (после 2023 года)."
101,Куйбышевазот-п всего 12м,Куйбышевазот-п,Химия,всего 12м,7.0,No,RUB,2.57%,272.8,Nan,No,889.2,0.14,3275.0,0.47,2.21,0,0,"Согласно дивидендной политике, целью КуйбышевАзот является выплата дивидендов в размере не менее 30% от годовой прибыли по РСБУ, при условии соответствия принципам сохранения устойчивого финансового состояния компании и обеспечения перспектив его развития. В 2020 году компания сделала паузу в выплате дивидендов, связанную с пандемией, а также широкой инвестпрограммой. Ожидаем более значительный рост дивидендных выплат после завершения проводимых инвестиций (после 2023 года)."
102,Куйбышевазот-п годовые 2021,Куйбышевазот-п,Химия,годовые 2021,3.0,No,RUB,1.1%,272.8,11.05.2022,No,889.2,0.14,3275.0,0.2,2.21,0,0,"Согласно дивидендной политике, целью КуйбышевАзот является выплата дивидендов в размере не менее 30% от годовой прибыли по РСБУ, при условии соответствия принципам сохранения устойчивого финансового состояния компании и обеспечения перспектив его развития. В 2020 году компания сделала паузу в выплате дивидендов, связанную с пандемией, а также широкой инвестпрограммой. Ожидаем более значительный рост дивидендных выплат после завершения проводимых инвестиций (после 2023 года)."
103,ЛСР I полугодие 2021,ЛСР,Строительство,I полугодие 2021,39.0,No,RUB,5.06%,770.0,12.10.2021,No,1091.15,0.5,5567.01,70.2,100.2,1,0,"В ближайшие годы группа  ЛСР намерена направлять на выплату дивидендов не менее 50% чистой прибыли и сохранить свою дивидендную политику ""в части стабильных выплат на одну акцию"". Последние годы стабильно платят 78 рублей на акцию. По итогам 2019 года снизили дивиденд до 30 рублей на акцию и объявили о программе обратного выкупа акций на сумму не более 5 млрд рублей (около 48 рублей на акцию). Совокупный объем дивидендов с учетом выкупа составит те же 78 рублей на акцию. В 2021 году по завершении байбэка мы ожидаем возвращения Группы к прежнему уровню дивидендов в 78 рублей на акцию (параметры и сроки программы выкупа будут объявлены позже)."
104,ЛСР всего 12м,ЛСР,Строительство,всего 12м,78.0,No,RUB,10.13%,770.0,Nan,No,1091.15,0.5,11134.02,70.2,100.2,1,0,"В ближайшие годы группа  ЛСР намерена направлять на выплату дивидендов не менее 50% чистой прибыли и сохранить свою дивидендную политику ""в части стабильных выплат на одну акцию"". Последние годы стабильно платят 78 рублей на акцию. По итогам 2019 года снизили дивиденд до 30 рублей на акцию и объявили о программе обратного выкупа акций на сумму не более 5 млрд рублей (около 48 рублей на акцию). Совокупный объем дивидендов с учетом выкупа составит те же 78 рублей на акцию. В 2021 году по завершении байбэка мы ожидаем возвращения Группы к прежнему уровню дивидендов в 78 рублей на акцию (параметры и сроки программы выкупа будут объявлены позже)."
105,ЛСР годовые 2021,ЛСР,Строительство,годовые 2021,39.0,No,RUB,5.06%,770.0,11.05.2022,No,1091.15,0.5,11134.02,35.1,100.2,1,0,"В ближайшие годы группа  ЛСР намерена направлять на выплату дивидендов не менее 50% чистой прибыли и сохранить свою дивидендную политику ""в части стабильных выплат на одну акцию"". Последние годы стабильно платят 78 рублей на акцию. По итогам 2019 года снизили дивиденд до 30 рублей на акцию и объявили о программе обратного выкупа акций на сумму не более 5 млрд рублей (около 48 рублей на акцию). Совокупный объем дивидендов с учетом выкупа составит те же 78 рублей на акцию. В 2021 году по завершении байбэка мы ожидаем возвращения Группы к прежнему уровню дивидендов в 78 рублей на акцию (параметры и сроки программы выкупа будут объявлены позже)."
106,ЛУКОЙЛ 9 месяцев 2021,ЛУКОЙЛ,Нефть/Газ,9 месяцев 2021,331.0,No,RUB,4.96%,6679.0,18.12.2021,No,63648.81,1.0,472111.51,48.51,692.87,1,1,"В октябре 2019 года компания приняла новые принципы дивполитики: выплаты будут производиться дважды в год, на дивиденды будут направлять не менее 100% свободного денежного потока, скорректированного на уплаченные проценты, погашение обязательств по аренде и расходы на выкуп акций. Сумма промежуточных дивидендов будет рассчитываться на основании отчетности по МСФО за 6 месяцев. Ранее Лукойл в равной степени направлял средства на выкуп акций и на дивиденды, с конца 2019 года выплата дивидендов в приоритете. Основа прогнозирования дивидендов Лукойла - стремление компании перманентно повышать дивиденды год к году."
107,ЛУКОЙЛ всего 12м,ЛУКОЙЛ,Нефть/Газ,всего 12м,544.0,No,RUB,8.14%,6679.0,Nan,No,63648.81,1.0,487286.51,72.84,652.5,1,1,"В октябре 2019 года компания приняла новые принципы дивполитики: выплаты будут производиться дважды в год, на дивиденды будут направлять не менее 100% свободного денежного потока, скорректированного на уплаченные проценты, погашение обязательств по аренде и расходы на выкуп акций. Сумма промежуточных дивидендов будет рассчитываться на основании отчетности по МСФО за 6 месяцев. Ранее Лукойл в равной степени направлял средства на выкуп акций и на дивиденды, с конца 2019 года выплата дивидендов в приоритете. Основа прогнозирования дивидендов Лукойла - стремление компании перманентно повышать дивиденды год к году."
108,ЛУКОЙЛ годовые 2020,ЛУКОЙЛ,Нефть/Газ,годовые 2020,213.0,Yes,RUB,3.19%,6679.0,05.07.2021,Yes,63648.81,1.0,15175.0,972.52,692.87,1,1,"В октябре 2019 года компания приняла новые принципы дивполитики: выплаты будут производиться дважды в год, на дивиденды будут направлять не менее 100% свободного денежного потока, скорректированного на уплаченные проценты, погашение обязательств по аренде и расходы на выкуп акций. Сумма промежуточных дивидендов будет рассчитываться на основании отчетности по МСФО за 6 месяцев. Ранее Лукойл в равной степени направлял средства на выкуп акций и на дивиденды, с конца 2019 года выплата дивидендов в приоритете. Основа прогнозирования дивидендов Лукойла - стремление компании перманентно повышать дивиденды год к году."
109,Левенгук годовые 2021,Левенгук,Разное,годовые 2021,0.25,No,RUB,2.01%,12.65,01.06.2022,No,9.21,0.5,103.78,13.0,52.94,0.57,0.43,"Левенгук не раскрывает дивидендной политики, но когда есть прибыль платит не менее 13% чистой прибыли по РСБУ."
110,Лензолото-ао всего 12м,Лензолото-ао,Металлы и добыча,всего 12м,15219.5,No,RUB,53.4%,28500.0,Nan,No,477.11,0.0,6473.0,268.11,1.14,0,0,"Чистая прибыль ОАО Лензолото формируется за счет получения дивидендов от дочерней компании ЗДК Лензолото. Как правило, такие дивиденды приходят в середине года и далее выплачиваются с целью перераспределения ресурсов на материнскую компанию Полюс Золото. Схема формирует неплохую потенциальную доходность бумаг, но неопределенность в принятии корпоративных решений несет очень высокие риски невыплаты дивидендов или выплаты символических сумм. По обыкновенным акциям не платят с 2013 года."
111,Лензолото-ао годовые 2020,Лензолото-ао,Металлы и добыча,годовые 2020,15219.5,Yes,RUB,53.4%,28500.0,13.07.2021,Yes,477.11,0.0,6473.0,268.11,1.14,0,0,"Чистая прибыль ОАО Лензолото формируется за счет получения дивидендов от дочерней компании ЗДК Лензолото. Как правило, такие дивиденды приходят в середине года и далее выплачиваются с целью перераспределения ресурсов на материнскую компанию Полюс Золото. Схема формирует неплохую потенциальную доходность бумаг, но неопределенность в принятии корпоративных решений несет очень высокие риски невыплаты дивидендов или выплаты символических сумм. По обыкновенным акциям не платят с 2013 года."
112,Лензолото-п всего 12м,Лензолото-п,Металлы и добыча,всего 12м,3699.27,No,RUB,58.72%,6300.0,Nan,No,477.11,0.5,6473.0,19.87,0.35,1,0,"Чистая прибыль ОАО Лензолото формируется за счет получения дивидендов от дочерней компании ЗДК Лензолото. Как правило, такие дивиденды приходят в середине года и далее выплачиваются с целью перераспределения ресурсов на материнскую компанию Полюс Золото. Схема формирует неплохую потенциальную доходность бумаг, но неопределенность в принятии корпоративных решений несет очень высокие риски невыплаты дивидендов или выплаты символических сумм. По обыкновенным акциям не платят с 2013 года."
113,Лензолото-п годовые 2020,Лензолото-п,Металлы и добыча,годовые 2020,3699.27,Yes,RUB,58.72%,6300.0,13.07.2021,Yes,477.11,0.5,6473.0,19.87,0.35,1,0,"Чистая прибыль ОАО Лензолото формируется за счет получения дивидендов от дочерней компании ЗДК Лензолото. Как правило, такие дивиденды приходят в середине года и далее выплачиваются с целью перераспределения ресурсов на материнскую компанию Полюс Золото. Схема формирует неплохую потенциальную доходность бумаг, но неопределенность в принятии корпоративных решений несет очень высокие риски невыплаты дивидендов или выплаты символических сумм. По обыкновенным акциям не платят с 2013 года."
114,Лента годовые 2020,Лента,Розничная торговля,годовые 2020,0.0,No,RUB,0%,244.1,20.09.2021,No,1641.88,0.0,12200.0,0.0,487.93,0,0,На Московской бирже торгуются депозитарные расписки Ленты. Свою дивидендную политику компания описала пока только в проспекте ценных бумаг при размещении на лондонской бирже. В соответствии с ней Лента не будет платить дивиденды. Стратегия ритейлера на 3-4 года предусматривает реинвестирование прибыли в развитие. В марте 2021 года менеджмент сообщил о планах утвердить дивидендную политику в текущем году и начать выплаты дивидендов с 2022 года.
115,Ленэнерго-ао (Россети Ленэнерго) годовые 2021,Ленэнерго-ао (Россети Ленэнерго),Энергетика,годовые 2021,0.23,No,RUB,3.83%,6.06,29.06.2022,No,903.7,0.36,13095.19,15.0,8465.96,0.57,0.14,"Согласно Уставу Ленэнерго общая сумма, выплачиваемая в качестве дивиденда по каждой привилегированной акции, устанавливается в размере 10% чистой прибыли по РСБУ. Дивиденд по префам не может быть меньше дивиденда по обыкновенным акциям. Дивидендная политика Ленэнерго (как и других МРСК) предусматривает выплаты по всем типам акций (пропорционально долям в уставном капитале) в 50% чистой прибыли, определенной как максимум из отчетностей РСБУ и МСФО. При этом такая чистая прибыль может корректироваться на обязательные отчисления, инвестиции из чистой прибыли, погашение убытков прошлых лет. Как и другие прибыльные МРСК, могут начать платить два раза в год (за 9 мес и за год)."
116,Ленэнерго-п (Россети Ленэнерго) годовые 2021,Ленэнерго-п (Россети Ленэнерго),Энергетика,годовые 2021,15.45,No,RUB,10.25%,150.65,29.06.2022,No,903.7,0.36,13095.19,11.0,93.26,0.57,0.14,"Согласно Уставу Ленэнерго общая сумма, выплачиваемая в качестве дивиденда по каждой привилегированной акции, устанавливается в размере 10% чистой прибыли по РСБУ. Дивиденд по префам не может быть меньше дивиденда по обыкновенным акциям. Дивидендная политика Ленэнерго (как и других МРСК) предусматривает выплаты по всем типам акций (пропорционально долям в уставном капитале) в 50% чистой прибыли, определенной как максимум из отчетностей РСБУ и МСФО. При этом такая чистая прибыль может корректироваться на обязательные отчисления, инвестиции из чистой прибыли, погашение убытков прошлых лет. Как и другие прибыльные МРСК, могут начать платить два раза в год (за 9 мес и за год)."
117,М.Видео 9 месяцев 2021,М.Видео,Розничная торговля,9 месяцев 2021,41.78,No,RUB,6.76%,618.4,20.11.2021,No,1529.02,0.14,7511.0,100.0,179.77,0.29,0,"В феврале 2021 года Совет директоров принял новую дивидендную политику: М.Видео планирует направлять на дивиденды не менее 100% чистой прибыли по МСФО при условии соотношения показателя чистый долг/EBITDA на конец последнего отчётного года на уровне или менее 2,0х. При соотношении показателя выше 2,0х, уровень выплаты дивидендов будет определяться с учётом факторов, актуальных для Совета директоров на момент принятия решения. Кроме того, компания намерена осуществлять дивидендные выплаты два раза в год."
118,М.Видео всего 12м,М.Видео,Розничная торговля,всего 12м,72.77,No,RUB,11.77%,618.4,Nan,No,1529.02,0.14,10970.96,119.24,179.77,0.29,0,"В феврале 2021 года Совет директоров принял новую дивидендную политику: М.Видео планирует направлять на дивиденды не менее 100% чистой прибыли по МСФО при условии соотношения показателя чистый долг/EBITDA на конец последнего отчётного года на уровне или менее 2,0х. При соотношении показателя выше 2,0х, уровень выплаты дивидендов будет определяться с учётом факторов, актуальных для Совета директоров на момент принятия решения. Кроме того, компания намерена осуществлять дивидендные выплаты два раза в год."
119,М.Видео годовые 2021,М.Видео,Розничная торговля,годовые 2021,30.99,No,RUB,5.01%,618.4,18.05.2022,No,1529.02,0.14,10970.96,50.78,179.77,0.29,0,"В феврале 2021 года Совет директоров принял новую дивидендную политику: М.Видео планирует направлять на дивиденды не менее 100% чистой прибыли по МСФО при условии соотношения показателя чистый долг/EBITDA на конец последнего отчётного года на уровне или менее 2,0х. При соотношении показателя выше 2,0х, уровень выплаты дивидендов будет определяться с учётом факторов, актуальных для Совета директоров на момент принятия решения. Кроме того, компания намерена осуществлять дивидендные выплаты два раза в год."
120,МГТС годовые 2020,МГТС,Телекомы,годовые 2020,0.0,No,RUB,0%,2165.0,11.07.2021,No,2686.34,0.14,14645.0,0.0,79.71,0,0,"Согласно уставу МГТС по префам выплачивается фиксированный дивиденд, равный 10% прибыли по РСБУ (обычно платят больше) и не менее дивидендов по обыкновенным акциям. МГТС сохраняет стабильный денежный поток и без крупных инвестиционных проектов имеет возможность выплачивать существенные дивиденды. Часто выплачивают дивиденды в размере существенно больше прибыли. Обычно дивиденды по префам и обыкновенным акциям равны. Последние годы выплачивают почти равные дивиденды - около 232 руб. на акцию каждого типа."
121,МГТС-п годовые 2020,МГТС-п,Телекомы,годовые 2020,0.0,No,RUB,0%,1466.0,11.07.2021,No,2686.34,0.14,14645.0,0.0,15.51,0,0,"Согласно уставу МГТС по префам выплачивается фиксированный дивиденд, равный 10% прибыли по РСБУ (обычно платят больше) и не менее дивидендов по обыкновенным акциям. МГТС сохраняет стабильный денежный поток и без крупных инвестиционных проектов имеет возможность выплачивать существенные дивиденды. Часто выплачивают дивиденды в размере существенно больше прибыли. Обычно дивиденды по префам и обыкновенным акциям равны. Последние годы выплачивают почти равные дивиденды - около 232 руб. на акцию каждого типа."
122,МКБ годовые 2021,МКБ,Финансы и Банки,годовые 2021,0.0,No,RUB,0%,6.45,07.06.2022,No,2964.29,0.0,30740.32,0.0,33429.71,0,0,"Наблюдательный Совет МКБ при определении рекомендуемого Общему собранию акционеров размера дивиденда, исходит из того, что сумма средств, направляемая на дивидендные выплаты, должна составлять не менее 10% чистой прибыли Банка, определяемой на основе финансовой отчетности по РСБУ."
123,ММК I квартал 2022,ММК,Металлы и добыча,I квартал 2022,0.99,No,RUB,1.68%,58.8,17.06.2022,No,9037.09,0.5,31397.47,35.2,11174.33,1,0,"Совет директоров ММК в ноябре 2019 года утвердил новую дивидендную политику, увеличив коэффициент выплат с 50% до 100% от свободного денежного потока по МСФО при условии, что коэффициент «чистый долг/EBITDA» будет ниже 1.0х (сейчас около нуля или отрицательный). В случае превышения коэффициентом значения 1.0х, сумма средств, направляемая на выплату дивидендов, будет составлять не менее 50% свободного денежного потока. Дивиденды продолжат выплачиваться на ежеквартальной основе. Компания имеет низкую долговую нагрузку, сохраняя возможность наращивания дивидендных выплат. В последние годы платили 100% свободного денежного потока. В прогнозах дивидендов за 2021 год учтены временные экспортные пошлины."
124,ММК II квартал 2021,ММК,Металлы и добыча,II квартал 2021,1.28,No,RUB,2.18%,58.8,23.09.2021,No,9037.09,0.5,4289.65,333.23,11174.33,1,0,"Совет директоров ММК в ноябре 2019 года утвердил новую дивидендную политику, увеличив коэффициент выплат с 50% до 100% от свободного денежного потока по МСФО при условии, что коэффициент «чистый долг/EBITDA» будет ниже 1.0х (сейчас около нуля или отрицательный). В случае превышения коэффициентом значения 1.0х, сумма средств, направляемая на выплату дивидендов, будет составлять не менее 50% свободного денежного потока. Дивиденды продолжат выплачиваться на ежеквартальной основе. Компания имеет низкую долговую нагрузку, сохраняя возможность наращивания дивидендных выплат. В последние годы платили 100% свободного денежного потока. В прогнозах дивидендов за 2021 год учтены временные экспортные пошлины."
125,ММК III квартал 2021,ММК,Металлы и добыча,III квартал 2021,0.98,No,RUB,1.67%,58.8,14.01.2022,No,9037.09,0.5,28553.18,38.35,11174.33,1,0,"Совет директоров ММК в ноябре 2019 года утвердил новую дивидендную политику, увеличив коэффициент выплат с 50% до 100% от свободного денежного потока по МСФО при условии, что коэффициент «чистый долг/EBITDA» будет ниже 1.0х (сейчас около нуля или отрицательный). В случае превышения коэффициентом значения 1.0х, сумма средств, направляемая на выплату дивидендов, будет составлять не менее 50% свободного денежного потока. Дивиденды продолжат выплачиваться на ежеквартальной основе. Компания имеет низкую долговую нагрузку, сохраняя возможность наращивания дивидендных выплат. В последние годы платили 100% свободного денежного потока. В прогнозах дивидендов за 2021 год учтены временные экспортные пошлины."
126,ММК IV квартал 2021,ММК,Металлы и добыча,IV квартал 2021,0.98,No,RUB,1.67%,58.8,17.06.2022,No,9037.09,0.5,21380.0,51.21,11174.33,1,0,"Совет директоров ММК в ноябре 2019 года утвердил новую дивидендную политику, увеличив коэффициент выплат с 50% до 100% от свободного денежного потока по МСФО при условии, что коэффициент «чистый долг/EBITDA» будет ниже 1.0х (сейчас около нуля или отрицательный). В случае превышения коэффициентом значения 1.0х, сумма средств, направляемая на выплату дивидендов, будет составлять не менее 50% свободного денежного потока. Дивиденды продолжат выплачиваться на ежеквартальной основе. Компания имеет низкую долговую нагрузку, сохраняя возможность наращивания дивидендных выплат. В последние годы платили 100% свободного денежного потока. В прогнозах дивидендов за 2021 год учтены временные экспортные пошлины."
127,ММК всего 12м,ММК,Металлы и добыча,всего 12м,4.23,No,RUB,7.19%,58.8,Nan,No,9037.09,0.5,85620.31,55.18,11174.33,1,0,"Совет директоров ММК в ноябре 2019 года утвердил новую дивидендную политику, увеличив коэффициент выплат с 50% до 100% от свободного денежного потока по МСФО при условии, что коэффициент «чистый долг/EBITDA» будет ниже 1.0х (сейчас около нуля или отрицательный). В случае превышения коэффициентом значения 1.0х, сумма средств, направляемая на выплату дивидендов, будет составлять не менее 50% свободного денежного потока. Дивиденды продолжат выплачиваться на ежеквартальной основе. Компания имеет низкую долговую нагрузку, сохраняя возможность наращивания дивидендных выплат. В последние годы платили 100% свободного денежного потока. В прогнозах дивидендов за 2021 год учтены временные экспортные пошлины."
128,МОЭСК (Россети Московский регион) 9 месяцев 2021,МОЭСК (Россети Московский регион),Энергетика,9 месяцев 2021,0.0,No,RUB,0%,1.17,14.01.2022,No,783.47,0.5,9226.59,0.0,48707.09,1,0,"Дивидендная политика МОЭСК (как и других МРСК) предусматривает выплаты в 50% чистой прибыли, определенной как максимум из отчетностей РСБУ и МСФО. При этом такая чистая прибыль может корректироваться на обязательные отчисления, инвестиции из чистой прибыли, погашение убытков прошлых лет."
129,МОЭСК (Россети Московский регион) всего 12м,МОЭСК (Россети Московский регион),Энергетика,всего 12м,0.13,No,RUB,10.8%,1.17,Nan,No,783.47,0.5,12302.12,50.0,48707.09,1,0,"Дивидендная политика МОЭСК (как и других МРСК) предусматривает выплаты в 50% чистой прибыли, определенной как максимум из отчетностей РСБУ и МСФО. При этом такая чистая прибыль может корректироваться на обязательные отчисления, инвестиции из чистой прибыли, погашение убытков прошлых лет."
130,МОЭСК (Россети Московский регион) годовые 2021,МОЭСК (Россети Московский регион),Энергетика,годовые 2021,0.13,No,RUB,10.8%,1.17,01.06.2022,No,783.47,0.5,12302.12,50.0,48707.09,1,0,"Дивидендная политика МОЭСК (как и других МРСК) предусматривает выплаты в 50% чистой прибыли, определенной как максимум из отчетностей РСБУ и МСФО. При этом такая чистая прибыль может корректироваться на обязательные отчисления, инвестиции из чистой прибыли, погашение убытков прошлых лет."
131,МРСК Волги (Россети Волга) 9 месяцев 2021,МРСК Волги (Россети Волга),Энергетика,9 месяцев 2021,0.0,No,RUB,0%,0.06,14.01.2022,No,154.36,0.5,937.73,0.0,188307.96,1,0,"Дивидендная политика МРСК Волги (как и других МРСК)  предусматривает выплаты в 50% чистой прибыли, определенной как максимум из отчетностей РСБУ и МСФО. При этом такая чистая прибыль может корректироваться на обязательные отчисления, инвестиции из чистой прибыли, погашение убытков прошлых лет. В 2019 году впервые рекомендовали промежуточные дивиденды за 9 месяцев. Промежуточные выплаты, вероятно, сохранятся и далее."
132,МРСК Волги (Россети Волга) всего 12м,МРСК Волги (Россети Волга),Энергетика,всего 12м,0.0,No,RUB,3.9%,0.06,Nan,No,154.36,0.5,1250.3,35.0,188307.96,1,0,"Дивидендная политика МРСК Волги (как и других МРСК)  предусматривает выплаты в 50% чистой прибыли, определенной как максимум из отчетностей РСБУ и МСФО. При этом такая чистая прибыль может корректироваться на обязательные отчисления, инвестиции из чистой прибыли, погашение убытков прошлых лет. В 2019 году впервые рекомендовали промежуточные дивиденды за 9 месяцев. Промежуточные выплаты, вероятно, сохранятся и далее."
133,МРСК Волги (Россети Волга) годовые 2021,МРСК Волги (Россети Волга),Энергетика,годовые 2021,0.0,No,RUB,3.9%,0.06,09.06.2022,No,154.36,0.5,1250.3,35.0,188307.96,1,0,"Дивидендная политика МРСК Волги (как и других МРСК)  предусматривает выплаты в 50% чистой прибыли, определенной как максимум из отчетностей РСБУ и МСФО. При этом такая чистая прибыль может корректироваться на обязательные отчисления, инвестиции из чистой прибыли, погашение убытков прошлых лет. В 2019 году впервые рекомендовали промежуточные дивиденды за 9 месяцев. Промежуточные выплаты, вероятно, сохранятся и далее."
134,МРСК СЗ (Россети СЗ) 9 месяцев 2021,МРСК СЗ (Россети СЗ),Энергетика,9 месяцев 2021,0.0,No,RUB,0%,0.05,14.01.2022,No,64.88,0.14,838.71,0.0,95785.92,0.29,0,"Дивидендная политика МРСК Северо-Запада (как и других МРСК) предусматривает выплаты в 50% от чистой прибыли, определенной как максимум из отчетностей РСБУ и МСФО. При этом такая чистая прибыль может корректироваться на обязательные отчисления, инвестиции из чистой прибыли, погашение убытков прошлых лет. Исторически платят 30%."
135,МРСК СЗ (Россети СЗ) всего 12м,МРСК СЗ (Россети СЗ),Энергетика,всего 12м,0.0,No,RUB,7.11%,0.05,Nan,No,64.88,0.14,1118.28,30.0,95785.92,0.29,0,"Дивидендная политика МРСК Северо-Запада (как и других МРСК) предусматривает выплаты в 50% от чистой прибыли, определенной как максимум из отчетностей РСБУ и МСФО. При этом такая чистая прибыль может корректироваться на обязательные отчисления, инвестиции из чистой прибыли, погашение убытков прошлых лет. Исторически платят 30%."
136,МРСК СЗ (Россети СЗ) годовые 2021,МРСК СЗ (Россети СЗ),Энергетика,годовые 2021,0.0,No,RUB,7.11%,0.05,09.06.2022,No,64.88,0.14,1118.28,30.0,95785.92,0.29,0,"Дивидендная политика МРСК Северо-Запада (как и других МРСК) предусматривает выплаты в 50% от чистой прибыли, определенной как максимум из отчетностей РСБУ и МСФО. При этом такая чистая прибыль может корректироваться на обязательные отчисления, инвестиции из чистой прибыли, погашение убытков прошлых лет. Исторически платят 30%."
